dataset,n_items,capacity,optimum,experiment,series,runs,best,mean_best,std_best,best_to_optimum_pct,mean_to_optimum_pct,runs_reaching_optimum
knapPI_1_500_1000_1,500,2543.0,28857.0,crossover,one-point,10,28144.0,27181.2,772.15,97.53,94.19,0
knapPI_1_500_1000_1,500,2543.0,28857.0,crossover,two-point,10,28268.0,27609.8,497.77,97.96,95.68,0
knapPI_1_500_1000_1,500,2543.0,28857.0,elitism,elitism = 0,10,23534.0,23041.6,289.79,81.55,79.85,0
knapPI_1_500_1000_1,500,2543.0,28857.0,elitism,elitism = 1,10,28144.0,27181.2,772.15,97.53,94.19,0
knapPI_2_500_1000_1,500,2543.0,4566.0,mutation_rate,p_m = 0.0002,10,3550.0,3346.3,122.22,77.75,73.29,0
knapPI_2_500_1000_1,500,2543.0,4566.0,mutation_rate,p_m = 0.001,10,4450.0,4364.0,58.22,97.46,95.58,0
knapPI_2_500_1000_1,500,2543.0,4566.0,mutation_rate,p_m = 0.002,10,4384.0,4239.3,104.05,96.01,92.84,0
knapPI_2_500_1000_1,500,2543.0,4566.0,mutation_rate,p_m = 0.01,10,3980.0,3824.5,112.04,87.17,83.76,0
knapPI_2_500_1000_1,500,2543.0,4566.0,mutation_rate,p_m = 0.02,10,3172.0,2881.7,163.73,69.47,63.11,0
knapPI_2_500_1000_1,500,2543.0,4566.0,crossover_rate,p_c = 0.5,10,4402.0,4295.2,59.15,96.41,94.07,0
knapPI_2_500_1000_1,500,2543.0,4566.0,crossover_rate,p_c = 0.7,10,4436.0,4260.6,71.36,97.15,93.31,0
knapPI_2_500_1000_1,500,2543.0,4566.0,crossover_rate,p_c = 0.9,10,4395.0,4258.8,88.5,96.25,93.27,0
knapPI_2_500_1000_1,500,2543.0,4566.0,crossover_rate,p_c = 1,10,4394.0,4188.5,85.86,96.23,91.73,0
knapPI_2_500_1000_1,500,2543.0,4566.0,selection,roulette,10,4384.0,4239.3,104.05,96.01,92.84,0
knapPI_2_500_1000_1,500,2543.0,4566.0,selection,rank,10,3515.0,3112.7,162.8,76.98,68.17,0
knapPI_2_500_1000_1,500,2543.0,4566.0,selection,tournament,10,4080.0,3724.3,166.32,89.36,81.57,0
knapPI_2_500_1000_1,500,2543.0,4566.0,crossover,one-point,10,4384.0,4239.3,104.05,96.01,92.84,0
knapPI_2_500_1000_1,500,2543.0,4566.0,crossover,two-point,10,4427.0,4233.4,108.75,96.96,92.72,0
knapPI_2_500_1000_1,500,2543.0,4566.0,elitism,elitism = 0,10,3990.0,3863.0,71.8,87.39,84.6,0
knapPI_2_500_1000_1,500,2543.0,4566.0,elitism,elitism = 1,10,4384.0,4239.3,104.05,96.01,92.84,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,mutation_rate,p_m = 0.0001,10,40476.0,37043.8,3129.67,74.26,67.97,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,mutation_rate,p_m = 0.0005,10,47359.0,44955.0,1450.03,86.89,82.48,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,mutation_rate,p_m = 0.001,10,48436.0,44808.7,2170.95,88.87,82.21,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,mutation_rate,p_m = 0.005,10,45105.0,42744.6,1364.61,82.76,78.43,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,mutation_rate,p_m = 0.01,10,19198.0,15198.3,1863.49,35.22,27.89,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,crossover_rate,p_c = 0.5,10,47753.0,45323.4,1158.82,87.62,83.16,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,crossover_rate,p_c = 0.7,10,46535.0,44043.1,1313.49,85.38,80.81,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,crossover_rate,p_c = 0.9,10,45762.0,43869.3,1022.1,83.96,80.49,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,crossover_rate,p_c = 1,10,45948.0,44003.1,1518.4,84.3,80.74,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,selection,roulette,10,48436.0,44808.7,2170.95,88.87,82.21,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,selection,rank,10,27075.0,22446.2,3352.42,49.68,41.18,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,selection,tournament,10,42191.0,36284.9,3650.76,77.41,66.57,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,crossover,one-point,10,48436.0,44808.7,2170.95,88.87,82.21,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,crossover,two-point,10,47774.0,45843.0,1138.68,87.65,84.11,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,elitism,elitism = 0,10,38525.0,35712.3,1557.63,70.68,65.52,0
knapPI_1_1000_1000_1,1000,5002.0,54503.0,elitism,elitism = 1,10,48436.0,44808.7,2170.95,88.87,82.21,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,mutation_rate,p_m = 0.0001,10,6857.0,6474.6,177.6,75.75,71.53,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,mutation_rate,p_m = 0.0005,10,7935.0,7594.5,203.17,87.66,83.9,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,mutation_rate,p_m = 0.001,10,7889.0,7495.2,209.41,87.15,82.8,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,mutation_rate,p_m = 0.005,10,7542.0,7098.2,264.66,83.32,78.42,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,mutation_rate,p_m = 0.01,10,5815.0,5547.3,162.63,64.24,61.28,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,crossover_rate,p_c = 0.5,10,7623.0,7362.1,182.42,84.21,81.33,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,crossover_rate,p_c = 0.7,10,7835.0,7466.4,252.29,86.56,82.48,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,crossover_rate,p_c = 0.9,10,7757.0,7491.2,138.81,85.69,82.76,0
knapPI_2_1000_1000_1,1000,5002.0,9052.0,crossover_rate,p_c = 1,10,7789.0,7431.9,177.38,86.05,82.1,0
